text,category,label
my laptop froze while uploading assignment,technical,1
the internet disconnected during submission,technical,1
the lms portal stopped responding while uploading,technical,1
my system restarted automatically during upload,technical,1
the assignment file became corrupted during saving,technical,1
my browser crashed while submitting assignment,technical,1
the upload failed because of network error,technical,1
my laptop displayed a blue screen during submission,technical,1
the internet speed dropped suddenly during upload,technical,1
the submission portal logged me out repeatedly,technical,1
my computer shut down unexpectedly while uploading,technical,1
the router stopped working suddenly,technical,1
the system update restarted my laptop automatically,technical,1
the upload process froze midway,technical,1
the assignment file failed to upload correctly,technical,1
the network connection became unstable,technical,1
my laptop battery died during submission,technical,1
the portal displayed a server error message,technical,1
my computer became unresponsive while saving the file,technical,1
the internet modem reset itself during upload,technical,1
my grandmother passed away suddenly,family,1
a close family member had a medical emergency,family,1
there was an emergency in my family,family,1
a relative was hospitalized unexpectedly,family,1
i had to attend a family funeral,family,1
my family required my immediate help,family,1
a family member became seriously ill,family,1
i had to take care of a sick relative,family,1
my parents needed urgent assistance at home,family,1
a family emergency occurred suddenly,family,1
a relative had an accident and needed help,family,1
there was a sudden family tragedy,family,1
i had to travel urgently for family reasons,family,1
a close relative passed away unexpectedly,family,1
i had to support my family during a crisis,family,1
my cousin was admitted to hospital suddenly,family,1
a family member required emergency surgery,family,1
there was an unexpected family problem,family,1
i had urgent family responsibilities,family,1
i was busy handling a family emergency,family,1
i suddenly developed a high fever,health,1
i had severe food poisoning,health,1
i experienced a strong migraine,health,1
i was feeling extremely sick that day,health,1
i had severe stomach pain,health,1
i had to visit the doctor urgently,health,1
i felt dizzy and weak during the day,health,1
i had severe fatigue and body pain,health,1
i had to go to the hospital for treatment,health,1
i was diagnosed with an infection,health,1
i had a sudden allergic reaction,health,1
i had severe flu symptoms,health,1
i was suffering from intense headaches,health,1
i felt extremely weak and tired,health,1
i had nausea and dizziness,health,1
i had severe medical discomfort,health,1
i had to take medication and rest,health,1
i had severe body weakness,health,1
i was not physically well that day,health,1
i had a sudden health issue,health,1
my bus broke down on the way to university,transport,1
there was heavy traffic on my route,transport,1
my transport arrived very late,transport,1
my vehicle broke down on the road,transport,1
public transport was unavailable that day,transport,1
my car had mechanical issues,transport,1
my ride cancelled unexpectedly,transport,1
there was a road blockage on the highway,transport,1
i got stuck in severe traffic,transport,1
my bike stopped working during the journey,transport,1
there was a transport strike in the city,transport,1
my driver did not arrive on time,transport,1
my transport service was delayed,transport,1
there was a road accident causing traffic delay,transport,1
my car tire punctured on the way,transport,1
the road was closed due to construction,transport,1
i had trouble finding transport,transport,1
the bus schedule changed suddenly,transport,1
my ride was cancelled last minute,transport,1
transportation issues made me late,transport,1
i accidentally uploaded the assignment to my friend's portal,submission,1
i submitted the assignment from the wrong account,submission,1
i uploaded the wrong version of the assignment,submission,1
i submitted the assignment to the wrong course portal,submission,1
i uploaded the incorrect file by mistake,submission,1
i forgot to attach the correct assignment file,submission,1
i submitted an incomplete version of the assignment,submission,1
i uploaded a draft instead of the final version,submission,1
i mistakenly submitted another subject assignment,submission,1
i attached the wrong document file,submission,1
i uploaded the assignment to the wrong portal,submission,1
i made an error during the submission process,submission,1
i accidentally deleted the final assignment file,submission,1
i submitted the wrong project document,submission,1
i uploaded an empty file accidentally,submission,1
i forgot to press the final submit button,submission,1
i uploaded the assignment in the wrong format,submission,1
i submitted the wrong document version,submission,1
i made a mistake during file upload,submission,1
i accidentally replaced the correct file,submission,1
aliens abducted my laptop before submission,technical,0
my dog ate my homework again,academic,0
a ghost deleted my assignment file,technical,0
my cat pressed random keys and erased everything,technical,0
a wizard cast a spell on my laptop,technical,0
the internet went on vacation,technical,0
my computer developed emotions and stopped working,technical,0
the assignment portal became shy,technical,0
my laptop joined a rebellion against homework,technical,0
the router forgot its job today,technical,0
my files ran away from the folder,technical,0
the internet signal took a lunch break,technical,0
my laptop decided to meditate,technical,0
the assignment vanished into another dimension,technical,0
my keyboard refused to cooperate with me,technical,0
the server got tired of submissions,technical,0
my computer started daydreaming during work,technical,0
the wifi went out for coffee,technical,0
my project file disappeared magically,technical,0
my laptop demanded a vacation day,technical,0
my laptop crashed while saving the assignment,technical,1
the internet stopped during the file upload,technical,1
the portal displayed an internal server error,technical,1
my system froze while submitting the project,technical,1
the upload process failed because of network issues,technical,1
my computer restarted unexpectedly during submission,technical,1
the lms portal timed out repeatedly,technical,1
the browser crashed while uploading my assignment,technical,1
the internet connection dropped suddenly during upload,technical,1
my laptop shut down unexpectedly while saving files,technical,1
the router stopped responding during submission,technical,1
the file upload failed because of server issues,technical,1
the system update interrupted my assignment submission,technical,1
my laptop battery died during upload,technical,1
the computer became unresponsive during saving,technical,1
the portal refreshed and removed my uploaded file,technical,1
the internet speed dropped during submission,technical,1
my laptop showed a system error during upload,technical,1
the network disconnected during the upload process,technical,1
the assignment file became corrupted while saving,technical,1
my grandmother suddenly passed away,family,1
a family member had an emergency at home,family,1
a relative was hospitalized unexpectedly,family,1
i had to attend a family funeral suddenly,family,1
there was a serious family emergency,family,1
my parents needed urgent assistance at home,family,1
a close relative became seriously ill,family,1
i had to help my family during a crisis,family,1
there was a sudden family tragedy,family,1
a relative had an accident and needed help,family,1
my uncle was admitted to hospital suddenly,family,1
i had to travel urgently because of family issues,family,1
my family required my immediate presence,family,1
there was an urgent family problem at home,family,1
i had to support my family during a medical emergency,family,1
a close relative passed away unexpectedly,family,1
my family needed help with an emergency situation,family,1
i had to attend an urgent family gathering,family,1
a family member required emergency surgery,family,1
i was handling a serious family situation,family,1
i developed a sudden high fever,health,1
i had severe food poisoning,health,1
i was experiencing a strong migraine,health,1
i felt extremely sick and weak,health,1
i had severe stomach pain that day,health,1
i had to visit the doctor urgently,health,1
